timeStamps,bufferSizes,bufferingStates,bufferingEvents,newBitrates,oldBitrates,resolutions,streamBandwidths,estimatedBandwidths
2024-09-18 02:27:43,1.0,1,5.289999961853027,2096000,1196000,960p,2,4.4
2024-09-18 02:27:46,1.0,1,6.509000062942505,2096000,1196000,960p,2,5
2024-09-18 02:27:47,1.0,0,6.509000062942505,2096000,1196000,960p,2,5
2024-09-18 02:27:48,1.0,0,6.509000062942505,2096000,1196000,960p,2,6.4
2024-09-18 02:27:49,1.0,0,6.509000062942505,2096000,1196000,960p,2,6.4
2024-09-18 02:27:50,0.5,0,6.509000062942505,6096000,2096000,1920p,5.9,6.4
2024-09-18 02:27:52,1.0,1,7.033999919891357,6096000,2096000,1920p,5.9,6
2024-09-18 02:27:53,0.4,0,7.033999919891357,6096000,2096000,1920p,5.9,5.8
2024-09-18 02:27:54,1.0,1,7.648000001907349,6096000,2096000,1920p,5.9,7.2
2024-09-18 02:27:56,1.0,1,8.306999921798706,6096000,2096000,1920p,5.9,8
2024-09-18 02:27:57,0.9,0,8.306999921798706,6096000,2096000,1920p,5.9,8
2024-09-18 02:27:59,1.0,1,9.085000038146973,6096000,2096000,1920p,5.9,8.5
2024-09-18 02:28:00,0.7,0,9.085000038146973,6096000,2096000,1920p,5.9,8.5
2024-09-18 02:28:02,1.0,1,10.069000005722046,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:03,0.5,0,10.069000005722046,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:05,1.0,1,10.934999942779541,6096000,2096000,1920p,5.9,9
2024-09-18 02:28:06,0.5,0,10.934999942779541,6096000,2096000,1920p,5.9,8.5
2024-09-18 02:28:08,1.0,1,11.60699987411499,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:10,1.0,1,12.551999807357788,6096000,2096000,1920p,5.9,9.4
2024-09-18 02:28:11,1.0,0,12.551999807357788,6096000,2096000,1920p,5.9,9
2024-09-18 02:28:13,1.0,0,12.551999807357788,6096000,2096000,1920p,5.9,9.9
2024-09-18 02:28:14,0.9,0,12.551999807357788,6096000,2096000,1920p,5.9,9.9
2024-09-18 02:28:15,1.0,1,13.346999883651733,6096000,2096000,1920p,5.9,9.8
2024-09-18 02:28:16,0.8,0,13.346999883651733,6096000,2096000,1920p,5.9,9.8
2024-09-18 02:28:18,1.0,1,13.902999877929688,6096000,2096000,1920p,5.9,9.9
2024-09-18 02:28:19,0.7,0,13.902999877929688,2096000,6096000,960p,2,2.5
2024-09-18 02:28:21,1.0,1,14.668999910354614,2096000,6096000,960p,2,9.5
2024-09-18 02:28:22,0.5,0,14.668999910354614,2096000,6096000,960p,2,9.5
2024-09-18 02:28:26,1.0,1,17.198999881744385,2096000,6096000,960p,2,7.9
2024-09-18 02:28:27,1.0,0,17.198999881744385,6096000,2096000,1920p,5.9,7.9
2024-09-18 02:28:28,1.0,0,17.198999881744385,6096000,2096000,1920p,5.9,7.9
2024-09-18 02:28:32,1.0,1,20.20899987220764,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:33,0.9,0,20.20899987220764,6096000,2096000,1920p,5.9,9.1
2024-09-18 02:28:35,1.0,1,20.924999713897705,6096000,2096000,1920p,5.9,9.3
2024-09-18 02:28:36,0.7,0,20.924999713897705,6096000,2096000,1920p,5.9,8.9
